Car Make,Location,Chassis No,Version/Class,Model Code,Milleage,Engine Size (CC),Engine Code,Drive,Steering,Transmission,External Color,Registration Year/Month,Fuel,Manufacture Year/Month,Price($)
 MITSUBISHI ASX,UNITED KINGDOM,JMF1166,AUTOMATIC DIESEL,0,"47,891 mile","2,200cc",-,4wheel drive,Right,Automatic,Brown,2016/11,Diesel,-,16600
 MITSUBISHI ASX,UNITED KINGDOM,JMF1120,MANUAL PETROL,0,"33,145 mile","1,600cc",-,4wheel drive,Right,Manual,White,2016/6,Petrol,-,12900
 MITSUBISHI ASX,UNITED KINGDOM,JMF1121,MANUAL PETROL,0,"15,359 mile","1,600cc",-,4wheel drive,Right,Manual,Red,2017/9,Petrol,-,16000
 MITSUBISHI ASX,UNITED KINGDOM,JMF1169,AUTOMATIC DIESEL,0,"10,208 mile","2,200cc",-,4wheel drive,Right,Automatic,White,2017/9,Diesel,-,22800
 MITSUBISHI ASX,UNITED KINGDOM,JMF1123,MANUAL PETROL,0,"11,277 mile","1,600cc",-,4wheel drive,Right,Manual,Black,2018/9,Petrol,-,19700
 MITSUBISHI ASX,UNITED KINGDOM,JMF1172,AUTOMATIC DIESEL,0,20 mile,"2,200cc",-,4wheel drive,Right,Automatic,Silver,2018/3,Diesel,-,26500
 MITSUBISHI ASX,UNITED KINGDOM,JMF1173,AUTOMATIC DIESEL,0,"7,510 mile","2,200cc",-,4wheel drive,Right,Automatic,Silver,2018/11,Diesel,-,29300
 MITSUBISHI ASX,UNITED KINGDOM,JMF1132,MANUAL DIESEL,0,"44,402 mile","1,800cc",-,4wheel drive,Right,Manual,White,2015/6,Diesel,-,14100
 MITSUBISHI OUTLANDER,Singapore,JMYXTGF3WFZ002025,SUNROOF,"24CVT-AWD
Find parts for this model code","37,376 km","2,360cc",-,4wheel drive,Right,Automatic,Silver,2015/6,Petrol,2015/0,11554
 MITSUBISHI ASX,UNITED KINGDOM,JMF4008,MANUAL DIESEL,0,"23,831 mile","1,600cc",-,4wheel drive,Right,Manual,Blue,2017/1,Diesel,-,17500
 MITSUBISHI ASX,UNITED KINGDOM,JMF4010,MANUAL DIESEL,0,"9,583 mile","1,600cc",-,4wheel drive,Right,Manual,Black,2017/12,Diesel,-,16600
 MITSUBISHI ASX,UNITED KINGDOM,JMF4011,MANUAL DIESEL,0,"21,538 mile","1,600cc",-,4wheel drive,Right,Manual,Blue,2017/3,Diesel,-,17100
 MITSUBISHI ASX,UNITED KINGDOM,JMF4012,AUTOMATIC DIESEL,0,"12,670 mile","2,200cc",-,4wheel drive,Right,Automatic,Other,2018/2,Diesel,-,22000
 MITSUBISHI ASX,UNITED KINGDOM,JMF4013,AUTOMATIC DIESEL,0,"4,013 mile","2,300cc",-,4wheel drive,Right,Automatic,White,2018/11,Diesel,-,22700
 MITSUBISHI ASX,UNITED KINGDOM,JMF783,MANUAL DIESEL,0,"16,330 mile","1,600cc",-,4wheel drive,Right,Manual,Silver,2015/12,Diesel,-,13900
